"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US34001000100","Census Tract 1; Atlantic County; New Jersey","56222","13213",
"1400000US34001000200","Census Tract 2; Atlantic County; New Jersey","42346","28560",
"1400000US34001000300","Census Tract 3; Atlantic County; New Jersey","52763","18124",
"1400000US34001000400","Census Tract 4; Atlantic County; New Jersey","50104","13921",
"1400000US34001000500","Census Tract 5; Atlantic County; New Jersey","53378","14617",
"1400000US34001001100","Census Tract 11; Atlantic County; New Jersey","38869","15987",
"1400000US34001001200","Census Tract 12; Atlantic County; New Jersey","48008","20994",
"1400000US34001001300","Census Tract 13; Atlantic County; New Jersey","51354","16678",
"1400000US34001001400","Census Tract 14; Atlantic County; New Jersey","24289","11147",
"1400000US34001001500","Census Tract 15; Atlantic County; New Jersey","21061","3556",
"1400000US34001001900","Census Tract 19; Atlantic County; New Jersey","45581","11856",
"1400000US34001002300","Census Tract 23; Atlantic County; New Jersey","40130","8507",
"1400000US34001002400","Census Tract 24; Atlantic County; New Jersey","26427","5489",
"1400000US34001002500","Census Tract 25; Atlantic County; New Jersey","37670","16899",
"1400000US34001010101","Census Tract 101.01; Atlantic County; New Jersey","134342","19228",
"1400000US34001010102","Census Tract 101.02; Atlantic County; New Jersey","121250","28490",
"1400000US34001010104","Census Tract 101.04; Atlantic County; New Jersey","62050","34307",
"1400000US34001010105","Census Tract 101.05; Atlantic County; New Jersey","67396","12456",
"1400000US34001010200","Census Tract 102; Atlantic County; New Jersey","65000","11290",
"1400000US34001010300","Census Tract 103; Atlantic County; New Jersey","87464","22071",
"1400000US34001010401","Census Tract 104.01; Atlantic County; New Jersey","85572","21279",
"1400000US34001010403","Census Tract 104.03; Atlantic County; New Jersey","102861","11192",
"1400000US34001010501","Census Tract 105.01; Atlantic County; New Jersey","93447","16579",
"1400000US34001010503","Census Tract 105.03; Atlantic County; New Jersey","83430","10902",
"1400000US34001010505","Census Tract 105.05; Atlantic County; New Jersey","88455","18584",
"1400000US34001010506","Census Tract 105.06; Atlantic County; New Jersey","115574","16485",
"1400000US34001010600","Census Tract 106; Atlantic County; New Jersey","71711","20915",
"1400000US34001010700","Census Tract 107; Atlantic County; New Jersey","93421","16364",
"1400000US34001010800","Census Tract 108; Atlantic County; New Jersey","66524","16969",
"1400000US34001010900","Census Tract 109; Atlantic County; New Jersey","76351","19475",
"1400000US34001011000","Census Tract 110; Atlantic County; New Jersey","95329","7647",
"1400000US34001011100","Census Tract 111; Atlantic County; New Jersey","81719","38374",
"1400000US34001011201","Census Tract 112.01; Atlantic County; New Jersey","110227","17522",
"1400000US34001011202","Census Tract 112.02; Atlantic County; New Jersey","87581","16087",
