X,Y,OBJECTID_1,OBJECTID,GCOMPID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-78.7724449999999,41.057123,1,1,GCOMP1,HELVETIA,.25 MILES EAST OF DELARME RD & KRINER LN,LUTHERSBURG,PA,15848,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CLEARFIELD,42033,USA,41.057123,-78.772445,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/24 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,1,330,372782,17864,62170,7240,3426,1,2012/06/01 00:00:00+00,0,0
-75.672182,41.1724780000001,2,2,GCOMP10,NO. 515 BEAR CREEK,0.2 MILES SOUTHEAST OF HWY 115 & BLUEBERRY LANE,BEAR CREEK,PA,18602,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LUZERNE,42079,USA,41.172478,-75.672182,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/08/25 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,6,32000,30777444,1283985,2013445,426144,8119,6,2012/11/07 00:00:00+00,0,0
-83.142679529,34.151551066,3,3,GCOMP100,NO. 130 COMER,117 WINNS LAKE RD.,COMER,GA,30629,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MADISON,13195,USA,34.151551066,-83.142679529,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/08/25 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,18,59290,46543043,7468983,4192360,2825079,96736,18,2013/01/26 00:00:00+00,11834,-999
-99.052273972,38.5843580490001,4,4,GCOMP1000,583 OTIS,"COUNTY ROAD 390; S11-T17S-R16W",OTIS,KS,67565,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,RUSH,20165,USA,38.584358049,-99.052273972,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",2015/09/09 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,https://csi.sscgp.com/,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",43,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",WITHIN 40 FEET,1,2400,3933939,380293,153920,146889,8510,1,2012/06/03 00:00:00+00,0,0
-108.311926251,40.9505573370001,5,5,GCOMP1001,COLORADO - SKULL CREEK DEW POINT PLANT,"COUNTY ROAD 4; SW SE SEC 32 T12N R97W",MAYBELL,CO,81640,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MOFFAT,08081,USA,40.950557337,-108.311926251,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/11 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.questarpipeline.com/,QUESTAR PIPELINE COMPANY,55,QUESTAR PIPELINE COMPANY,WITHIN 40 FEET,1,100,950473,84436,375595,32497,7002,1,2012/12/23 00:00:00+00,0,0
-102.182431,37.1149970000001,6,6,GCOMP1002,FLANK,COUNTY ROAD K & COUNTY ROAD H,CAMPO,CO,81029,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BACA,08009,USA,37.114997,-102.182431,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/10/19 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://ebb.cigco.com/,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",32,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",WITHIN 40 FEET,6,7250,13773635,244467,543787,94172,13753,2,2012/08/12 00:00:00+00,0,0
-102.993106,39.8901890000001,7,7,GCOMP1003,NIOBRARA,COUNTY ROAD QQ & HWY 22,AKRON,CO,80720,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WASHINGTON,08121,USA,39.890189,-102.993106,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/10/16 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://ebb.cigco.com/,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",32,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",WITHIN 40 FEET,1,1800,462263,152796,226165,58250,8432,1,2012/12/29 00:00:00+00,0,0
-110.79015274,41.823104066,8,8,GCOMP1004,KEMMERER,"CR 300; SW1/4,S2,SE1/4,S3,T32N,R118W",KEMMERER,WY,83101,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LINCOLN,56023,USA,41.823104066,-110.79015274,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/14 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.northwest.williams.com/,NORTHWEST PIPELINE GP,37,NORTHWEST PIPELINE GP,WITHIN 40 FEET,5,11200,20512700,373112,530467,134951,13805,3,2012/01/17 00:00:00+00,0,0
-89.874112,37.358275,9,9,GCOMP1005,STATION 309 - MARBLE HILL,"CR-324/MO-34; CORNER OF CR-324 AND MO-34",MARBLE HILL,MO,63764,9417,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BOLLINGER,29017,USA,37.358275,-89.874112,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/16 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.kindermorgan.com/,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,26,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,WITHIN 40 FEET,9,29650,13028482,0,0,1187001,48633,8,2012/02/13 00:00:00+00,0,0
-102.748944,32.971281,10,10,GCOMP1006,PLAINS,"CR-355; CORNER OF CR-355 AND LIGHT PLANT RD",DENVER CITY,TX,79323,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,YOAKUM,48501,USA,32.971281,-102.748944,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/15 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.northernnaturalgas.com/,NORTHERN NATURAL GAS COMPANY,59,NORTHERN NATURAL GAS COMPANY,WITHIN 40 FEET,1,3546,6871877,331291,195347,118930,3914,1,2012/01/01 00:00:00+00,13454,183460
